"num","year","month","day","week","hour","minute"
188,2012,7,27,"周五",22,3
189,2012,7,28,"周六",21,11
190,2012,7,29,"周日",21,12
191,2012,7,30,"周一",21,20
192,2012,7,31,"周二",22,5
193,2012,8,1,"周三",21,41
194,2012,8,3,"周五",21,15
195,2012,8,4,"周四",21,47
196,2012,8,5,"周日",21,32
197,2012,8,6,"周一",21,52
198,2012,8,7,"周二",21,20
199,2012,8,8,"周三",21,25
200,2012,8,9,"周四",21,57
201,2012,8,10,"周五",21,16
202,2012,8,11,"周六",20,50
203,2012,8,12,"周日",21,16
204,2012,8,13,"周一",21,15
205,2012,8,14,"周二",21,24
206,2012,8,15,"周三",21,36
207,2012,8,16,"周四",21,10
208,2012,8,17,"周五",21,40
209,2012,8,18,"周六",21,5
210,2012,8,19,"周日",21,13
211,2012,8,20,"周一",21,17
212,2012,8,21,"周二",21,23
213,2012,8,22,"周三",21,26
214,2012,8,23,"周四",20,53
215,2012,8,24,"周五",21,10
216,2012,8,25,"周六",21,23
217,2012,8,26,"周日",21,28
218,2012,8,27,"周一",21,15
219,2012,8,28,"周二",21,18
220,2012,8,29,"周三",21,11
221,2012,8,30,"周四",21,6
222,2012,8,31,"周五",21,23
223,2012,9,1,"周六",21,25
224,2012,9,2,"周日",21,0
225,2012,9,3,"周一",21,15
226,2012,9,4,"周二",21,2
227,2012,9,5,"周三",21,27
228,2012,9,6,"周四",21,32
229,2012,9,7,"周五",20,55
230,2012,9,8,"周六",20,56
231,2012,9,9,"周日",21,0
232,2012,9,10,"周一",21,23
233,2012,9,11,"周二",21,12
234,2012,9,12,"周三",21,7
235,2012,9,13,"周四",21,24
236,2012,9,14,"周五",22,47
237,2012,9,15,"周六",21,31
238,2012,9,16,"周日",20,57
239,2012,9,17,"周一",21,58
240,2012,9,18,"周二",21,31
241,2012,9,19,"周三",21,35
242,2012,9,20,"周四",21,59
243,2012,9,21,"周五",22,21
244,2012,9,22,"周六",21,32
245,2012,9,23,"周日",21,18
246,2012,9,24,"周一",23,6
247,2012,9,25,"周二",20,57
248,2012,9,26,"周三",20,4
249,2012,9,27,"周四",22,43
250,2012,9,28,"周五",21,35
251,2012,9,29,"周六",21,44
252,2012,9,30,"周日",20,46
253,2012,10,1,"周一",22,21
254,2012,10,2,"周二",21,27
255,2012,10,3,"周三",21,45
256,2012,10,4,"周四",21,17
257,2012,10,5,"周五",21,2
258,2012,10,6,"周六",21,23
259,2012,10,7,"周日",20,59
260,2012,10,8,"周一",21,16
261,2012,10,12,"周五",21,34
262,2012,10,14,"周日",20,27
263,2012,10,15,"周一",20,43
264,2012,10,16,"周二",21,21
265,2012,10,17,"周三",21,33
266,2012,10,18,"周四",21,1
267,2012,10,19,"周五",21,0
268,2012,10,20,"周六",21,9
269,2012,10,21,"周日",20,21
270,2012,10,22,"周一",20,4
271,2012,10,25,"周四",21,31
272,2012,10,26,"周五",21,5
273,2012,10,27,"周六",20,47
274,2012,10,29,"周一",21,18
275,2012,10,30,"周二",21,18
276,2012,10,31,"周三",21,21
277,2012,11,1,"周四",21,8
278,2012,11,2,"周五",21,11
279,2012,11,3,"周六",20,56
280,2012,11,4,"周日",21,47
281,2012,11,5,"周一",21,3
282,2012,11,6,"周二",21,3
283,2012,11,7,"周三",21,18
284,2012,11,8,"周四",21,20
285,2012,11,9,"周五",21,23
286,2012,11,10,"周六",21,18
287,2012,11,11,"周日",21,7
288,2012,11,12,"周一",21,29
289,2012,11,13,"周二",21,33
290,2012,11,14,"周三",21,1
291,2012,11,15,"周四",22,7
292,2012,11,16,"周五",21,30
293,2012,11,17,"周六",21,22
294,2012,11,18,"周日",21,32
295,2012,11,19,"周一",21,13
296,2012,11,20,"周二",21,10
297,2012,11,21,"周三",21,1
298,2012,11,22,"周四",21,15
299,2012,11,23,"周五",21,41
300,2012,11,24,"周六",21,20
301,2012,11,25,"周日",20,56
302,2012,11,26,"周一",21,17
303,2012,11,27,"周二",20,54
304,2012,11,28,"周三",21,9
305,2012,11,29,"周四",21,10
306,2012,11,30,"周五",21,12
307,2012,12,1,"周六",21,5
308,2012,12,2,"周日",21,5
309,2012,12,3,"周一",21,21
310,2012,12,4,"周二",21,29
311,2012,12,5,"周三",21,28
312,2012,12,6,"周四",21,34
313,2012,12,7,"周五",21,13
314,2012,12,8,"周六",20,48
315,2012,12,9,"周日",21,17
316,2012,12,10,"周一",21,9
317,2012,12,11,"周二",21,23
318,2012,12,12,"周三",21,14
319,2012,12,14,"周五",21,11
320,2012,12,15,"周六",21,15
321,2012,12,16,"周日",21,32
322,2012,12,17,"周一",21,14
323,2012,12,18,"周二",21,8
324,2012,12,19,"周三",21,13
325,2012,12,20,"周四",21,5
326,2012,12,21,"周五",21,23
327,2012,12,22,"周六",21,18
328,2012,12,23,"周日",20,58
329,2012,12,24,"周一",22,56
330,2012,12,25,"周二",21,5
331,2012,12,26,"周三",21,5
332,2012,12,27,"周四",22,33
333,2012,12,28,"周五",21,2
334,2012,12,29,"周六",21,30
335,2012,12,30,"周日",21,14
336,2012,12,31,"周一",21,40
337,2013,1,1,"周二",21,17
338,2013,1,2,"周三",20,48
339,2013,1,3,"周四",21,20
340,2013,1,4,"周五",21,43
341,2013,1,5,"周六",21,14
342,2013,1,6,"周日",21,33
343,2013,1,7,"周一",21,38
344,2013,1,8,"周二",20,54
345,2013,1,9,"周三",21,21
346,2013,1,10,"周四",21,16
347,2013,1,11,"周五",22,34
348,2013,1,12,"周六",21,40
349,2013,1,13,"周日",21,40
350,2013,1,14,"周一",21,39
351,2013,1,15,"周二",21,28
352,2013,1,16,"周三",21,30
353,2013,1,17,"周四",21,46
354,2013,1,18,"周五",21,37
355,2013,1,19,"周六",21,28
356,2013,1,20,"周日",21,30
357,2013,1,21,"周一",21,44
358,2013,1,22,"周二",21,28
359,2013,1,23,"周三",21,32
360,2013,1,24,"周四",21,36
361,2013,1,25,"周五",21,18
362,2013,1,26,"周六",21,23
363,2013,1,27,"周日",21,28
364,2013,1,28,"周一",21,41
365,2013,1,29,"周二",21,26
366,2013,1,30,"周三",22,8
367,2013,1,31,"周四",21,19
368,2013,2,1,"周五",21,28
369,2013,2,2,"周六",21,1
370,2013,2,3,"周日",21,29
371,2013,2,4,"周一",21,23
372,2013,2,5,"周二",21,27
373,2013,2,6,"周三",21,32
374,2013,2,7,"周四",21,20
375,2013,2,8,"周五",21,45
376,2013,2,9,"周六",21,38
377,2013,2,10,"周日",21,41
378,2013,2,11,"周一",21,38
379,2013,2,12,"周二",21,34
380,2013,2,13,"周三",21,4
381,2013,2,14,"周四",21,27
382,2013,2,15,"周五",21,36
383,2013,2,16,"周六",21,0
384,2013,2,17,"周日",21,32
385,2013,2,18,"周一",22,21
386,2013,2,19,"周二",21,32
387,2013,2,20,"周三",21,21
388,2013,2,21,"周四",20,54
389,2013,2,22,"周五",22,18
390,2013,2,23,"周六",21,7
391,2013,2,24,"周日",21,34
392,2013,2,25,"周一",21,31
393,2013,2,26,"周二",21,21
394,2013,2,27,"周三",21,22
395,2013,2,28,"周四",21,21
396,2013,3,1,"周五",21,19
